Province_State,Country_Region,Confirmed,Deaths
,Afghanistan,1088,51
,Albania,16080,189
,Algeria,3641,145
,Andorra,1022,1
,Angola,1219,34
,Antigua and Barbuda,119,18
,Argentina,39509,632
,Armenia,40370,1366
Australian Capital Territory,Australia,376,3
New South Wales,Australia,6896,69
Northern Territory,Australia,53,0
Queensland,Australia,35,0
South Australia,Australia,4,0
Tasmania,Australia,2,0
Victoria,Australia,36037,258
Western Australia,Australia,9,0
,Austria,296691,929
,Azerbaijan,62302,815
,Bahamas,517,29
,Bahrain,910,1
,Bangladesh,7256,138
,Barbados,9091,85
,Belarus,58835,480
Antwerp,Belgium,61541,0
Brussels,Belgium,25957,0
East Flanders,Belgium,49242,0
Flemish Brabant,Belgium,32505,0
Hainaut,Belgium,27888,0
Liege,Belgium,32558,0
Limburg,Belgium,30036,0
Luxembourg,Belgium,8356,0
Namur,Belgium,14979,0
Unknown,Belgium,3222,897
Walloon Brabant,Belgium,11447,0
West Flanders,Belgium,48934,0
,Belize,4522,96
,Benin,290,0
,Bhutan,16,0
,Bolivia,21509,195
,Bosnia and Herzegovina,23365,1064
,Botswana,9733,20
Acre,Brazil,150,1
Alagoas,Brazil,1652,62
Amapa,Brazil,946,9
Amazonas,Brazil,1844,35
Bahia,Brazil,14139,239
Ceara,Brazil,6419,150
Distrito Federal,Brazil,3942,222
Espirito Santo,Brazil,14164,296
Goias,Brazil,33356,398
Maranhao,Brazil,4082,47
Mato Grosso,Brazil,6905,79
Mato Grosso do Sul,Brazil,2540,48
Minas Gerais,Brazil,25780,683
Para,Brazil,8790,133
Paraiba,Brazil,14560,110
Parana,Brazil,30365,521
Pernambuco,Brazil,9511,259
Piaui,Brazil,6040,86
Rio Grande do Norte,Brazil,8178,103
Rio Grande do Sul,Brazil,29299,679
Rio de Janeiro,Brazil,25197,922
Rondonia,Brazil,7116,66
Roraima,Brazil,1026,16
Santa Catarina,Brazil,18642,370
Sao Paulo,Brazil,34908,2095
Sergipe,Brazil,-259,13
Tocantins,Brazil,4057,53
,Brunei,2658,17
,Bulgaria,113109,4705
,Burkina Faso,721,51
,Burma,25468,511
,Burundi,457,0
,Cabo Verde,205,0
,Cambodia,2205,180
,Cameroon,6505,191
Alberta,Canada,14292,205
British Columbia,Canada,14294,204
Diamond Princess,Canada,0,0
Grand Princess,Canada,0,0
Manitoba,Canada,4504,64
New Brunswick,Canada,1730,15
Newfoundland and Labrador,Canada,114,3
Northwest Territories,Canada,271,3
Nova Scotia,Canada,911,9
Nunavut,Canada,0,0
Ontario,Canada,16367,138
Prince Edward Island,Canada,48,0
Quebec,Canada,18673,94
Repatriated Travellers,Canada,0,0
Saskatchewan,Canada,4260,97
Yukon,Canada,577,2
,Central African Republic,190,1
,Chad,38,1
Antofagasta,Chile,2480,12
Araucania,Chile,2130,6
Arica y Parinacota,Chile,675,6
Atacama,Chile,1427,10
Aysen,Chile,1040,1
Biobio,Chile,6353,23
Coquimbo,Chile,2648,20
Los Lagos,Chile,3421,13
Los Rios,Chile,1589,5
Magallanes,Chile,300,0
Maule,Chile,3636,22
Metropolitana,Chile,29944,299
Nuble,Chile,1219,7
OHiggins,Chile,2156,34
Tarapaca,Chile,1584,4
Unknown,Chile,-2,0
Valparaiso,Chile,6671,44
Anhui,China,0,0
Beijing,China,48,0
Chongqing,China,7,0
Fujian,China,22,0
Gansu,China,99,0
Guangdong,China,74,0
Guangxi,China,63,0
Guizhou,China,6,0
Hainan,China,0,0
Hebei,China,132,0
Heilongjiang,China,279,0
Henan,China,83,0
Hong Kong,China,88,0
Hubei,China,6,0
Hunan,China,0,0
Inner Mongolia,China,135,0
Jiangsu,China,19,0
Jiangxi,China,22,0
Jilin,China,6,0
Liaoning,China,313,0
Macau,China,0,0
Ningxia,China,28,0
Qinghai,China,11,0
Shaanxi,China,10,0
Shandong,China,47,0
Shanghai,China,128,0
Shanxi,China,4,0
Sichuan,China,49,0
Tianjin,China,26,0
Tibet,China,0,0
Unknown,China,0,0
Xinjiang,China,0,0
Yunnan,China,120,0
Zhejiang,China,36,0
Amazonas,Colombia,63,1
Antioquia,Colombia,12507,238
Arauca,Colombia,402,7
Atlantico,Colombia,9728,117
Bolivar,Colombia,2555,38
Boyaca,Colombia,676,15
Caldas,Colombia,545,11
Capital District,Colombia,7303,66
Caqueta,Colombia,63,3
Casanare,Colombia,241,6
Cauca,Colombia,589,21
Cesar,Colombia,1814,21
Choco,Colombia,71,0
Cordoba,Colombia,399,-1
Cundinamarca,Colombia,1777,26
Guainia,Colombia,152,1
Guaviare,Colombia,14,0
Huila,Colombia,459,13
La Guajira,Colombia,2425,46
Magdalena,Colombia,3478,73
Meta,Colombia,442,5
Narino,Colombia,533,11
Norte de Santander,Colombia,5632,171
Putumayo,Colombia,470,11
Quindio,Colombia,1156,36
Risaralda,Colombia,527,15
San Andres y Providencia,Colombia,949,7
Santander,Colombia,3533,57
Sucre,Colombia,413,3
Tolima,Colombia,491,11
Unknown,Colombia,0,0
Valle del Cauca,Colombia,4734,140
Vaupes,Colombia,15,0
Vichada,Colombia,47,0
,Comoros,273,3
,Congo (Brazzaville),2429,110
,Congo (Kinshasa),628,13
,Costa Rica,10326,334
,Cote d'Ivoire,482,13
,Croatia,137444,1467
,Cuba,15708,132
,Cyprus,8466,22
,Czechia,314560,1793
Faroe Islands,Denmark,1669,11
Greenland,Denmark,580,0
,Denmark,86013,130
,Diamond Princess,0,0
,Djibouti,52,5
,Dominica,1134,5
,Dominican Republic,28482,87
,Ecuador,8826,176
,Egypt,28405,1824
,El Salvador,5751,198
,Equatorial Guinea,381,7
,Eritrea,458,12
,Estonia,37220,302
,Eswatini,122,7
,Ethiopia,8377,350
,Fiji,497,22
,Finland,26378,163
French Guiana,France,1793,25
French Polynesia,France,94,1
Guadeloupe,France,985,14
Martinique,France,2008,31
Mayotte,France,429,3
New Caledonia,France,1510,19
Reunion,France,4610,9
Saint Barthelemy,France,7,0
Saint Pierre and Miquelon,France,22,0
St Martin,France,125,1
Wallis and Futuna,France,0,0
,France,347589,1178
,Gabon,2622,52
,Gambia,32,3
,Georgia,130143,1937
Baden-Wurttemberg,Germany,171340,695
Bayern,Germany,285551,1279
Berlin,Germany,46902,118
Brandenburg,Germany,43169,161
Bremen,Germany,3665,19
Hamburg,Germany,13963,89
Hessen,Germany,53437,264
Mecklenburg-Vorpommern,Germany,14208,86
Niedersachsen,Germany,49024,232
Nordrhein-Westfalen,Germany,141870,688
Rheinland-Pfalz,Germany,33799,186
Saarland,Germany,9250,41
Sachsen,Germany,135240,481
Sachsen-Anhalt,Germany,35001,179
Schleswig-Holstein,Germany,13773,68
Thuringen,Germany,50859,416
Unknown,Germany,18545,0
,Ghana,1115,39
,Greece,185303,1984
,Grenada,63,4
,Guatemala,20717,1170
,Guinea,125,2
,Guinea-Bissau,307,5
,Guyana,2457,85
,Haiti,1568,65
,Holy See,0,0
,Honduras,3564,210
,Hungary,201027,3027
,Iceland,4253,2
Andaman and Nicobar Islands,India,28,0
Andhra Pradesh,India,8254,87
Arunachal Pradesh,India,168,0
Assam,India,7406,108
Bihar,India,140,2
Chandigarh,India,98,0
Chhattisgarh,India,788,21
Dadra and Nagar Haveli and Daman and Diu,India,4,0
Delhi,India,1151,4
Goa,India,845,20
Gujarat,India,878,5
Haryana,India,448,4
Himachal Pradesh,India,4067,102
Jammu and Kashmir,India,4243,37
Jharkhand,India,550,5
Karnataka,India,8269,178
Kerala,India,198623,9761
Ladakh,India,493,5
Lakshadweep,India,18,0
Madhya Pradesh,India,325,4
Maharashtra,India,29296,791
Manipur,India,1754,54
Meghalaya,India,993,21
Mizoram,India,15699,72
Nagaland,India,366,17
Odisha,India,9263,90
Puducherry,India,1010,13
Punjab,India,886,37
Rajasthan,India,263,1
Sikkim,India,279,9
Tamil Nadu,India,27290,396
Telangana,India,4727,38
Tripura,India,370,4
Unknown,India,0,0
Uttar Pradesh,India,261,10
Uttarakhand,India,327,8
West Bengal,India,25528,364
,Indonesia,14424,561
,Iran,231978,4057
,Iraq,30648,764
,Ireland,112269,283
,Israel,17402,131
Abruzzo,Italy,4172,21
Basilicata,Italy,751,1
Calabria,Italy,5018,48
Campania,Italy,21209,160
Emilia-Romagna,Italy,18631,179
Friuli Venezia Giulia,Italy,11973,102
Lazio,Italy,24319,190
Liguria,Italy,5949,32
Lombardia,Italy,29215,170
Marche,Italy,5882,47
Molise,Italy,464,5
P.A. Bolzano,Italy,7087,34
P.A. Trento,Italy,2193,7
Piemonte,Italy,11427,72
Puglia,Italy,6532,55
Sardegna,Italy,2208,21
Sicilia,Italy,14574,182
Toscana,Italy,10966,132
Umbria,Italy,2292,20
Valle d'Aosta,Italy,579,4
Veneto,Italy,27959,107
,Jamaica,2646,186
Aichi,Japan,348,5
Akita,Japan,26,0
Aomori,Japan,10,0
Chiba,Japan,194,6
Ehime,Japan,68,0
Fukui,Japan,11,1
Fukuoka,Japan,213,3
Fukushima,Japan,5,1
Gifu,Japan,172,1
Gunma,Japan,107,0
Hiroshima,Japan,148,1
Hokkaido,Japan,392,2
Hyogo,Japan,349,2
Ibaraki,Japan,63,2
Ishikawa,Japan,13,0
Iwate,Japan,1,0
Kagawa,Japan,3,0
Kagoshima,Japan,6,1
Kanagawa,Japan,397,6
Kochi,Japan,11,1
Kumamoto,Japan,9,0
Kyoto,Japan,141,1
Mie,Japan,47,0
Miyagi,Japan,23,0
Miyazaki,Japan,0,0
Nagano,Japan,30,1
Nagasaki,Japan,22,0
Nara,Japan,77,0
Niigata,Japan,39,0
Oita,Japan,0,0
Okayama,Japan,266,0
Okinawa,Japan,140,26
Osaka,Japan,937,22
Port Quarantine,Japan,73,0
Saga,Japan,21,0
Saitama,Japan,262,20
Shiga,Japan,46,1
Shimane,Japan,58,0
Shizuoka,Japan,47,0
Tochigi,Japan,42,1
Tokushima,Japan,7,1
Tokyo,Japan,634,47
Tottori,Japan,7,0
Toyama,Japan,11,1
Unknown,Japan,0,0
Wakayama,Japan,12,0
Yamagata,Japan,11,0
Yamaguchi,Japan,78,0
Yamanashi,Japan,2,0
,Jordan,76846,478
,Kazakhstan,41082,861
,Kenya,2144,75
,Kiribati,0,0
,"Korea, South",75913,628
,Kosovo,402,9
,Kuwait,671,4
,Kyrgyzstan,2433,79
,Laos,30185,90
,Latvia,46464,1035
,Lebanon,24450,223
,Lesotho,148,6
,Liberia,8,0
,Libya,15829,408
,Liechtenstein,773,1
,Lithuania,72282,970
,Luxembourg,6749,20
,MS Zaandam,0,0
,Madagascar,450,7
,Malawi,110,8
Johor,Malaysia,14521,163
Kedah,Malaysia,11552,117
Kelantan,Malaysia,18352,155
Melaka,Malaysia,6123,42
Negeri Sembilan,Malaysia,6097,39
Pahang,Malaysia,9868,53
Perak,Malaysia,7217,154
Perlis,Malaysia,954,14
Pulau Pinang,Malaysia,8863,79
Sabah,Malaysia,16581,202
Sarawak,Malaysia,13358,362
Selangor,Malaysia,39210,181
Terengganu,Malaysia,7633,132
Unknown,Malaysia,0,0
W.P. Kuala Lumpur,Malaysia,9063,56
W.P. Labuan,Malaysia,348,0
W.P. Putrajaya,Malaysia,1379,-2
,Maldives,4124,8
,Mali,1248,43
,Malta,1377,5
,Marshall Islands,0,0
,Mauritania,1926,30
,Mauritius,1932,92
Aguascalientes,Mexico,1302,90
Baja California,Mexico,11091,558
Baja California Sur,Mexico,817,22
Campeche,Mexico,359,38
Chiapas,Mexico,352,21
Chihuahua,Mexico,4179,195
Ciudad de Mexico,Mexico,14107,341
Coahuila,Mexico,4364,187
Colima,Mexico,355,53
Durango,Mexico,1056,76
Guanajuato,Mexico,8538,464
Guerrero,Mexico,901,134
Hidalgo,Mexico,900,132
Jalisco,Mexico,2933,575
Mexico,Mexico,5594,615
Michoacan,Mexico,769,157
Morelos,Mexico,1102,114
Nayarit,Mexico,365,81
Nuevo Leon,Mexico,3468,385
Oaxaca,Mexico,1793,153
Puebla,Mexico,1660,336
Queretaro,Mexico,2247,106
Quintana Roo,Mexico,569,48
San Luis Potosi,Mexico,2312,121
Sinaloa,Mexico,1186,168
Sonora,Mexico,5014,268
Tabasco,Mexico,2268,176
Tamaulipas,Mexico,1965,228
Tlaxcala,Mexico,297,43
Unknown,Mexico,0,0
Veracruz,Mexico,2001,435
Yucatan,Mexico,1908,206
Zacatecas,Mexico,543,65
,Micronesia,0,0
,Moldova,32261,1453
,Monaco,223,0
,Mongolia,30035,316
,Montenegro,14772,203
,Morocco,4986,158
,Mozambique,278,12
,Namibia,302,21
,Nepal,10948,165
Aruba,Netherlands,439,2
"Bonaire, Sint Eustatius and Saba",Netherlands,414,3
Curacao,Netherlands,351,5
Drenthe,Netherlands,8606,20
Flevoland,Netherlands,10732,16
Friesland,Netherlands,16367,18
Gelderland,Netherlands,56312,149
Groningen,Netherlands,8349,12
Limburg,Netherlands,40066,127
Noord-Brabant,Netherlands,62358,100
Noord-Holland,Netherlands,62022,86
Overijssel,Netherlands,28149,69
Sint Maarten,Netherlands,92,0
Unknown,Netherlands,2919,0
Utrecht,Netherlands,34701,32
Zeeland,Netherlands,11509,13
Zuid-Holland,Netherlands,87300,142
Cook Islands,New Zealand,0,0
,New Zealand,5040,13
,Nicaragua,911,5
,Niger,648,41
,Nigeria,3217,92
,North Macedonia,13540,423
,Norway,50880,155
,Oman,351,3
Azad Jammu and Kashmir,Pakistan,99,2
Balochistan,Pakistan,262,4
Gilgit-Baltistan,Pakistan,28,0
Islamabad,Pakistan,844,14
Khyber Pakhtunkhwa,Pakistan,2255,105
Punjab,Pakistan,3543,111
Sindh,Pakistan,6958,68
,Palau,0,0
,Panama,5208,51
,Papua New Guinea,7080,207
,Paraguay,1752,135
Amazonas,Peru,317,2
Ancash,Peru,920,33
Apurimac,Peru,227,13
Arequipa,Peru,757,16
Ayacucho,Peru,476,23
Cajamarca,Peru,406,11
Callao,Peru,895,29
Cusco,Peru,848,34
Huancavelica,Peru,117,11
Huanuco,Peru,287,10
Ica,Peru,748,36
Junin,Peru,942,26
La Libertad,Peru,1597,53
Lambayeque,Peru,852,16
Lima,Peru,13202,296
Loreto,Peru,116,0
Madre de Dios,Peru,72,5
Moquegua,Peru,137,6
Pasco,Peru,136,7
Piura,Peru,2151,84
Puno,Peru,654,52
San Martin,Peru,224,8
Tacna,Peru,578,19
Tumbes,Peru,312,7
Ucayali,Peru,51,1
Unknown,Peru,3775,81
,Philippines,71737,5889
,Poland,433202,5241
,Portugal,44953,237
,Qatar,4000,2
,Romania,207855,10938
Adygea Republic,Russia,2594,125
Altai Krai,Russia,15433,849
Altai Republic,Russia,1576,55
Amur Oblast,Russia,6324,37
Arkhangelsk Oblast,Russia,13791,99
Astrakhan Oblast,Russia,7946,253
Bashkortostan Republic,Russia,20872,972
Belgorod Oblast,Russia,10693,196
Bryansk Oblast,Russia,14805,433
Buryatia Republic,Russia,6317,192
Chechen Republic,Russia,3531,116
Chelyabinsk Oblast,Russia,17132,914
Chukotka Autonomous Okrug,Russia,545,5
Chuvashia Republic,Russia,5350,553
Dagestan Republic,Russia,5271,196
Ingushetia Republic,Russia,2526,57
Irkutsk Oblast,Russia,16554,850
Ivanovo Oblast,Russia,7027,291
Jewish Autonomous Okrug,Russia,1389,40
Kabardino-Balkarian Republic,Russia,4012,237
Kaliningrad Oblast,Russia,12031,144
Kalmykia Republic,Russia,1389,44
Kaluga Oblast,Russia,6189,181
Kamchatka Krai,Russia,1419,61
Karachay-Cherkess Republic,Russia,2655,110
Karelia Republic,Russia,9249,107
Kemerovo Oblast,Russia,10411,129
Khabarovsk Krai,Russia,15197,133
Khakassia Republic,Russia,6364,292
Khanty-Mansi Autonomous Okrug,Russia,7948,370
Kirov Oblast,Russia,8089,84
Komi Republic,Russia,11453,315
Kostroma Oblast,Russia,6203,112
Krasnodar Krai,Russia,14759,1549
Krasnoyarsk Krai,Russia,21602,921
Kurgan Oblast,Russia,6528,68
Kursk Oblast,Russia,10696,182
Leningrad Oblast,Russia,12238,213
Lipetsk Oblast,Russia,12291,410
Magadan Oblast,Russia,1057,33
Mari El Republic,Russia,3926,69
Mordovia Republic,Russia,4998,182
Moscow,Russia,159772,2932
Moscow Oblast,Russia,78751,1636
Murmansk Oblast,Russia,8025,247
Nenets Autonomous Okrug,Russia,501,14
Nizhny Novgorod Oblast,Russia,24333,1214
North Ossetia - Alania Republic,Russia,3119,49
Novgorod Oblast,Russia,9133,92
Novosibirsk Oblast,Russia,11634,418
Omsk Oblast,Russia,17286,349
Orel Oblast,Russia,10275,196
Orenburg Oblast,Russia,12354,628
Penza Oblast,Russia,11875,764
Perm Krai,Russia,21524,1118
Primorsky Krai,Russia,10941,138
Pskov Oblast,Russia,8843,159
Rostov Oblast,Russia,19871,980
Ryazan Oblast,Russia,7707,524
Saint Petersburg,Russia,89395,2437
Sakha (Yakutiya) Republic,Russia,8829,287
Sakhalin Oblast,Russia,2811,73
Samara Oblast,Russia,49732,872
Saratov Oblast,Russia,18844,828
Smolensk Oblast,Russia,17921,223
Stavropol Krai,Russia,15054,1209
Sverdlovsk Oblast,Russia,22364,972
Tambov Oblast,Russia,6368,308
Tatarstan Republic,Russia,7017,279
Tomsk Oblast,Russia,7811,37
Tula Oblast,Russia,7981,494
Tver Oblast,Russia,12201,252
Tyumen Oblast,Russia,10513,481
Tyva Republic,Russia,2151,9
Udmurt Republic,Russia,12028,527
Ulyanovsk Oblast,Russia,16510,385
Vladimir Oblast,Russia,9976,255
Volgograd Oblast,Russia,14053,1007
Vologda Oblast,Russia,11956,374
Voronezh Oblast,Russia,23864,757
Yamalo-Nenets Autonomous Okrug,Russia,4427,104
Yaroslavl Oblast,Russia,8646,187
Zabaykalsky Krai,Russia,11110,275
,Rwanda,903,21
,Saint Kitts and Nevis,149,7
,Saint Lucia,501,38
,Saint Vincent and the Grenadines,596,14
,Samoa,0,0
,San Marino,375,2
,Sao Tome and Principe,34,0
,Saudi Arabia,1338,50
,Senegal,80,7
,Serbia,143283,1876
,Seychelles,1095,6
,Sierra Leone,3,0
,Singapore,84866,363
,Slovakia,243622,1153
,Slovenia,88710,431
,Solomon Islands,0,0
,Somalia,1700,144
,South Africa,30403,732
,South Sudan,422,0
Andalusia,Spain,11534,75
Aragon,Spain,4998,60
Asturias,Spain,1504,13
Baleares,Spain,3905,26
C. Valenciana,Spain,12827,86
Canarias,Spain,5074,31
Cantabria,Spain,990,4
Castilla - La Mancha,Spain,3714,39
Castilla y Leon,Spain,6164,56
Catalonia,Spain,25718,147
Ceuta,Spain,61,0
Extremadura,Spain,1159,2
Galicia,Spain,3887,15
La Rioja,Spain,806,5
Madrid,Spain,13505,117
Melilla,Spain,138,1
Murcia,Spain,3448,19
Navarra,Spain,3904,9
Pais Vasco,Spain,10774,67
Unknown,Spain,0,0
,Sri Lanka,23521,594
,Sudan,1721,15
,Summer Olympics 2020,0,0
,Suriname,2511,100
Blekinge,Sweden,359,0
Dalarna,Sweden,485,2
Gavleborg,Sweden,938,1
Gotland,Sweden,104,0
Halland,Sweden,862,0
Jamtland Harjedalen,Sweden,181,0
Jonkoping,Sweden,551,5
Kalmar,Sweden,960,1
Kronoberg,Sweden,284,2
Norrbotten,Sweden,711,4
Orebro,Sweden,1215,1
Ostergotland,Sweden,661,1
Skane,Sweden,3934,24
Sormland,Sweden,698,1
Stockholm,Sweden,7617,57
Uppsala,Sweden,1152,5
Varmland,Sweden,733,4
Vasterbotten,Sweden,815,5
Vasternorrland,Sweden,434,6
Vastmanland,Sweden,2080,9
Vastra Gotaland,Sweden,3866,21
,Switzerland,108342,253
,Syria,6043,215
,Taiwan*,176,2
,Tajikistan,7,0
,Tanzania,227,6
,Thailand,231510,1789
,Timor-Leste,50,1
,Togo,227,1
,Tonga,-55680,-1645
,Trinidad and Tobago,-644029,-23140
,Tunisia,-7135073,-43756
,Turkey,8644095,75470
Alabama,US,-26750,-396
Alabama,US,34464,513
Alabama,US,-561,-6
Alabama,US,-5858,-82
Alabama,US,9179,148
Alabama,US,-1739,-51
Alabama,US,-18802,-388
Alabama,US,16972,376
Alabama,US,2750,82
Alabama,US,-3484,-100
Alabama,US,6115,143
Alabama,US,-3826,-56
Alabama,US,2412,18
Alabama,US,31,9
Alabama,US,-6669,-131
Alabama,US,541,-9
Alabama,US,7456,155
Alabama,US,124,22
Alabama,US,-4870,-136
Alabama,US,4474,120
Alabama,US,-12852,-217
Alabama,US,7117,118
Alabama,US,4036,-9
Alabama,US,-7379,-52
Alabama,US,-2335,-17
Alabama,US,9119,160
Alabama,US,-12884,-359
Alabama,US,17062,437
Alabama,US,-2667,-20
Alabama,US,1757,-19
Alabama,US,3373,92
Alabama,US,-1815,-43
Alabama,US,47,23
Alabama,US,-14185,-346
Alabama,US,7835,241
Alabama,US,-104679,-1730
Alabama,US,113812,1958
Alabama,US,-11808,-242
Alabama,US,10612,189
Alabama,US,-18717,-119
Alabama,US,10182,62
Alabama,US,14362,154
Alabama,US,-568,5
Alabama,US,-49890,-633
Alabama,US,49840,641
Alabama,US,-1586,-34
Alabama,US,-12978,-175
Alabama,US,-53838,-1023
Alabama,US,70833,1315
Alabama,US,-30751,-674
Alabama,US,13510,403
Alabama,US,22427,407
Alabama,US,-1388,-40
Alabama,US,-1745,-44
Alabama,US,-1470,-18
Alabama,US,1816,45
Alabama,US,-3030,8
Alabama,US,-30554,-285
Alabama,US,22246,29
Alabama,US,15522,320
Alabama,US,-12461,-242
Alabama,US,7097,101
Alabama,US,-27882,-411
Alabama,US,35953,639
Alabama,US,-11206,-370
Alabama,US,9476,329
Alabama,US,875,13
Alabama,US,-2746,-65
Alabama,US,4343,107
Alaska,US,-481,2
Alaska,US,-54232,-322
Alaska,US,54985,368
Alaska,US,6679,27
